PLAY #,ODK,QTR,DN,DIST,HASH,YARD LN,PLAY TYPE,PLAY DIR,RESULT,GN/LS,OFF PLAY,OFF FORM,PERSONNEL,OFF STR,GAP,DEF FRONT,COVERAGE,BLITZ,MOTION DIR,PLAYER,YAC
90,D,3,1.0,10.0,R,-18.0,Run,L,Rush,-3.0,OUTSIDE,3,10.0,L,,34.0,1.0,,,3.0,
91,D,3,2.0,13.0,L,-15.0,Run,R,Rush,0.0,OUTSIDE,2,10.0,L,,34.0,1.0,,,13.0,
92,D,3,3.0,13.0,R,-15.0,Pass,L,Complete,12.0,QUICK PASS,7,0.0,L,,33.0,2.0,,,87.0,10.0
93,D,3,4.0,1.0,L,-27.0,Run,R,Fumble,0.0,INSIDE,1,10.0,L,,34.0,2.0,,,,
94,O,3,1.0,10.0,R,27.0,Pass,L,Incomplete,0.0,DROPBACK PASS,4 QUEEN,10.0,R,,34.0,2.0,,,80.0,
95,O,3,2.0,10.0,R,27.0,Pass,L,"Complete, TD",27.0,DROPBACK PASS,4 KING,10.0,R,,34.0,2.0,,,10.0,
96,O,3,0.0,10.0,,3.0,FG,,Complete,,,,,,,,,,,,
97,D,3,1.0,10.0,M,-20.0,Run,R,Rush,-2.0,INSIDE,4,10.0,R,,34.0,2.0,,,,
98,D,3,2.0,12.0,M,-18.0,Pass,R,Incomplete,0.0,DROPBACK PASS,5 KING,10.0,L,,34.0,2.0,,,3.0,
99,D,3,3.0,12.0,M,-18.0,,,Penalty,-5.0,,,,,,,,,,,
100,D,3,3.0,17.0,M,-13.0,Pass,L,Incomplete,0.0,DROPBACK PASS,4 QUEEN,10.0,R,,34.0,2.0,,,13.0,
101,D,3,4.0,17.0,M,-13.0,Punt,,,,,,,,,,,,,,
102,O,4,1.0,10.0,R,38.0,Pass,R,Incomplete,0.0,DROPBACK PASS,5 QUEEN,10.0,L,,33.0,2.0,,,20.0,
103,O,4,2.0,10.0,R,38.0,Pass,L,Penalty,-5.0,DROPBACK PASS,5 QUEEN,10.0,L,,33.0,2.0,,L,10.0,
104,O,4,2.0,15.0,R,43.0,Pass,L,Complete,8.0,DROPBACK PASS,5 QUEEN,10.0,L,,33.0,2.0,,,89.0,3.0
105,O,4,3.0,7.0,M,35.0,Pass,R,Incomplete,0.0,DROPBACK PASS,2,10.0,L,,33.0,2.0,,,10.0,
106,O,4,4.0,7.0,M,35.0,Pass,R,Incomplete,0.0,DROPBACK PASS,4 KING,10.0,R,,33.0,2.0,,,20.0,
107,D,4,1.0,10.0,M,-35.0,Pass,L,Interception,0.0,DROPBACK PASS,5 KING,10.0,L,,33.0,2.0,,,13.0,
108,O,4,1.0,10.0,R,35.0,Run,R,Rush,30.0,INSIDE,3,10.0,L,B,33.0,2.0,W:C,,26.0,
109,O,4,1.0,10.0,R,25.0,Run,R,Rush,7.0,INSIDE,1,11.0,L,B,34.0,2.0,,,26.0,
110,O,4,2.0,3.0,M,18.0,Pass,L,Complete,8.0,DROPBACK PASS,5 QUEEN,10.0,L,,34.0,1.0,,,10.0,3.0
111,O,4,1.0,10.0,L,10.0,Run,R,Rush,-5.0,INSIDE,3,10.0,L,,33.0,1.0,G:A,,26.0,
112,O,4,2.0,15.0,M,15.0,Pass,R,Complete,5.0,DROPBACK PASS,3,10.0,L,,34.0,2.0,S:C,,89.0,5.0
113,O,4,2.0,10.0,,10.0,,,,0.0,,,,,,,,,,,
114,O,4,2.0,10.0,M,10.0,Pass,R,Incomplete,0.0,QUICK PASS,5 QUEEN,10.0,L,,34.0,1.0,,,3.0,
115,O,4,3.0,10.0,M,10.0,Run,L,Rush,5.0,INSIDE,2,10.0,R,,34.0,2.0,,,26.0,
116,O,4,3.0,10.0,M,10.0,Pass,L,Incomplete,0.0,DROPBACK PASS,2,10.0,R,,34.0,2.0,,R,89.0,
117,O,4,4.0,10.0,M,10.0,Pass,R,Incomplete,0.0,DROPBACK PASS,2,10.0,R,,34.0,2.0,,,10.0,
118,D,4,1.0,10.0,M,-10.0,Run,L,Rush,5.0,OUTSIDE,1,20.0,L,,34.0,2.0,,,3.0,
119,D,4,2.0,5.0,L,-15.0,Run,R,Rush,-5.0,OUTSIDE,1,20.0,L,,34.0,1.0,,,3.0,
120,D,4,3.0,10.0,R,-10.0,Pass,R,Complete,20.0,QUICK PASS,3,10.0,L,,34.0,2.0,,,12.0,7.0
121,D,4,1.0,10.0,L,-30.0,Pass,L,Complete,10.0,DROPBACK PASS,4 QUEEN,10.0,R,,34.0,2.0,,,12.0,
122,D,4,1.0,10.0,L,-40.0,Pass,R,Complete,2.0,QUICK PASS,0,20.0,R,,34.0,2.0,,,3.0,
123,D,4,2.0,8.0,M,-42.0,,,Penalty,5.0,,3,10.0,L,,34.0,2.0,,,,
124,D,4,3.0,3.0,R,43.0,Run,L,Penalty,10.0,OUTSIDE,3,10.0,L,,34.0,2.0,,,15.0,
125,D,4,1.0,10.0,M,25.0,Pass,L,Complete,10.0,DROPBACK PASS,4 QUEEN,10.0,R,,34.0,2.0,,,87.0,10.0
126,D,4,1.0,10.0,L,15.0,Pass,R,Complete,9.0,DROPBACK PASS,2,10.0,R,,34.0,2.0,,,87.0,5.0
127,D,4,2.0,1.0,R,6.0,Run,L,Rush,-9.0,OUTSIDE,1,20.0,L,,34.0,1.0,,,3.0,
128,D,4,3.0,10.0,L,15.0,Pass,R,Incomplete,0.0,DROPBACK PASS,3,10.0,L,,34.0,2.0,T:A,,87.0,
129,D,4,4.0,10.0,L,15.0,FG,,Incomplete,0.0,,,,,,,,,,,
130,O,4,1.0,10.0,L,-20.0,Pass,L,Complete,5.0,DROPBACK PASS,3,10.0,L,,33.0,2.0,,,27.0,5.0
131,O,4,2.0,5.0,M,-25.0,Pass,R,Complete,10.0,DROPBACK PASS,2,10.0,R,,34.0,1.0,,,80.0,
132,O,4,1.0,10.0,R,-35.0,Run,L,Penalty,15.0,INSIDE,2,10.0,R,A,34.0,2.0,,,27.0,
133,O,4,1.0,10.0,M,35.0,Pass,R,Incomplete,0.0,DROPBACK PASS,2,10.0,R,,34.0,2.0,,,27.0,
134,O,4,2.0,10.0,M,35.0,Pass,R,Incomplete,0.0,DROPBACK PASS,2,10.0,R,,34.0,2.0,,,85.0,
135,O,4,3.0,10.0,M,35.0,Run,L,Rush,17.0,OUTSIDE,4 KING,10.0,R,,34.0,2.0,,,3.0,
136,O,4,1.0,10.0,L,18.0,Pass,R,"Complete, TD",18.0,DROPBACK PASS,4 KING,10.0,R,,34.0,1.0,,,89.0,5.0
137,O,4,0.0,,,3.0,2 Pt.,,Complete,,,2,10.0,R,,34.0,1.0,,,,
138,,1,,,,,,,,,,,,,,,,,,,
